Country,Year,Population,GDP (US$),gdp_cap,Renewable Capacity,Oil Capacity,RC/cap (Watt),Continent
Algeria,2000,31042238,54790392746,1765.027146,0,434,0,Africa
Argentina,2000,36870796,2.84204E+11,7708.099115,14.1,625,0.382416479,SAM
Australia,2000,19153000,4.15576E+11,21697.70848,59.148,828,3.088184619,Oceania
Austria,2000,8011566,1.968E+11,24564.45829,55,201,6.865074818,Europe
Azerbaijan,2000,8048600,5272798391,655.1199452,0,405,0,Asia
Bahrain,2000,664610,9062898936,13636.41675,0,260,0,Asia
Bangladesh,2000,127657862,53369787319,418.0689421,0,36,0,Asia
Belarus,2000,9979610,12738912134,1276.493985,0,500,0,Europe
Belgium,2000,10251250,2.36205E+11,23041.53473,14,739,1.365687111,Europe
Brazil,2000,174790339,6.55448E+11,3749.910848,22,1849.361773,0.12586508,SAM
Bulgaria,2000,8170172,13245833844,1621.242961,0,120,0,Europe
Canada,2000,30685730,7.44773E+11,24271.00206,146,1860.588916,4.757911902,NAM
Chile,2000,15342350,77860932152,5074.902616,0,201,0,SAM
China,2000,1262645000,1.21135E+12,959.3724836,396.215,5908.449738,0.313797623,Asia
Colombia,2000,39629965,99886577331,2520.481089,0,323,0,SAM
Costa Rica,2000,3962369,15013629659,3789.053886,187.5,0,47.32017639,NAM
Croatia,2000,4468302,21839780971,4887.713716,0,0,0,Europe
Curacao,2000,133860,0,0,0,320,0,SAM
Czech Republic,2000,10255063,61828166496,6029.038193,0.1,200,0.009751281,Europe
Denmark,2000,5339616,1.64159E+11,30743.54768,2391,184,447.7850093,Europe
Ecuador,2000,12681123,18327764882,1445.279324,0,177,0,SAM
Egypt,2000,68831561,99838543960,1450.476242,69.1,654,1.003899941,Africa
El Salvador,2000,5887930,11784927700,2001.540049,161.2,0,27.37804288,NAM
Ethiopia,2000,66224809,8242392104,124.4607909,7.3,0,0.110230593,Africa
Finland,2000,5176209,1.25707E+11,24285.46682,38,261,7.341280076,Europe
France,2000,60912500,1.36225E+12,22364.02939,45,1984,0.738764621,Europe
Germany,2000,82211508,1.94315E+12,23635.92922,6209,2262,75.52470635,Europe
Greece,2000,10805808,1.30134E+11,12042.95371,226,412,20.91467848,Europe
Guatemala,2000,11589761,19288827159,1664.298958,29,0,2.502208631,NAM
Honduras,2000,6574510,7103826902,1080.510472,1.6,0,0.243364144,NAM
Hungary,2000,10210971,47218405892,4624.281657,0,221,0,Europe
Iceland,2000,281205,9025660362,32096.37226,172,0,611.6534201,Europe
India,2000,1056575548,4.68395E+11,443.3141938,1268.084,2219,1.20018299,Asia
Indonesia,2000,211513822,1.65021E+11,780.1902047,525,1070.65,2.482107292,Asia
Iran,2000,65623397,1.09592E+11,1670.009674,11,1647,0.167623142,Asia
Iraq,2000,23497589,48364250944,2058.264401,0,718,0,Asia
Ireland,2000,3805174,99958806891,26269.18162,116.5,75,30.61620835,Europe
Israel,2000,6289000,1.32456E+11,21061.48228,0,270,0,Asia
Italy,2000,56942108,1.14383E+12,20087.59199,972,2485,17.06996868,Europe
Japan,2000,126843000,4.96836E+12,39169.35957,947,5010,7.46592244,Asia
Jordan,2000,5122495,8460424401,1651.621798,1.4,0,0.273304318,Asia
Kazakhstan,2000,14883626,18291994909,1229.001247,0,330,0,Asia
Kenya,2000,31964557,12705357103,397.4826588,58,0,1.81450974,Africa
South Korea,2000,22929078,0,0,11,0,0.47974018,Asia
Kuwait,2000,2045123,37712842243,18440.37852,0,745,0,Asia
Lithuania,2000,3499536,11524776867,3293.229979,0,240,0,Europe
Malaysia,2000,23194252,93789736842,4043.662923,0,572,0,Asia
Mexico,2000,98899845,7.07907E+11,7157.8145,886,1481.05,8.958558024,NAM
Morocco,2000,28793672,38857251336,1349.506632,60.7,154,2.108102086,Africa
Netherlands,2000,15925513,4.16443E+11,26149.41108,460,1277,28.88446984,Europe
New Zealand,2000,3857700,52623281957,13641.10272,454,96,117.6867045,Oceania
Nicaragua,2000,5069310,5107329007,1007.499839,21,0,4.142575617,NAM
Nigeria,2000,122283853,69448756933,567.9307221,0,320,0,Africa
Norway,2000,4490967,1.71247E+11,38131.46061,13,305,2.894699516,Europe
Oman,2000,2267973,19507452536,8601.271944,0,80,0,Asia
Pakistan,2000,142343583,82017743416,576.1955804,0,134,0,Asia
Papua New Guinea,2000,5847590,3521339699,602.1864903,0,0,0,Oceania
Peru,2000,26459944,51744749133,1955.588006,0,198,0,SAM
Philippines,2000,77991757,83669693589,1072.801752,1846.5,398,23.67557895,Asia
Poland,2000,38258629,1.72219E+11,4501.454067,4,384,0.104551577,Europe
Portugal,2000,10289898,1.18311E+11,11497.75346,98,291,9.52390393,Europe
Qatar,2000,592467,17759890110,29976.16763,0,62,0,Asia
Romania,2000,22442971,37253259017,1659.90764,0,391,0,Europe
Russia,2000,146596869,2.5971E+11,1771.594059,26,5521,0.17735713,Asia
Saudi Arabia,2000,20663840,1.89515E+11,9171.331476,0,1798,0,Asia
Singapore,2000,4027887,96074477958,23852.32703,0,1340,0,Asia
Slovakia,2000,5388720,29169953013,5413.150621,0,120,0,Europe
South Africa,2000,44967713,1.51753E+11,3374.718423,0,481,0,Africa
Spain,2000,40567864,5.96878E+11,14713.06571,2216,1330,54.62451757,Europe
Sweden,2000,8872109,2.62835E+11,29624.91267,212,454,23.89510769,Europe
Switzerland,2000,7184250,2.79841E+11,38952.0342,16,132,2.22709399,Europe
Thailand,2000,62952639,1.26392E+11,2007.735271,0,898.5,0,Asia
Trinidad and Tobago,2000,1267159,8154338233,6435.134212,0,165,0,NAM
Tunisia,2000,9708347,21473261837,2211.835015,10,0,1.030041468,Africa
Turkey,2000,63240196,2.74303E+11,4337.478003,37.1,713,0.586652198,Europe
Turkmenistan,2000,4516128,2904732773,643.1909754,0,251.0273973,0,Asia
Ukraine,2000,49176500,32375280321,658.348608,5,891,0.10167458,Europe
United Arab Emirates,2000,3134067,1.04337E+11,33291.36625,0,668,0,Asia
United Kingdom,2000,58892514,1.66213E+12,28223.06757,414,1778,7.029755938,Europe
United States,2000,282162411,1.02523E+13,36334.90878,5188.5,16568,18.38834585,NAM
Uruguay,2000,3319734,22823255802,6875.025469,0,0,0,SAM
Uzbekistan,2000,24650400,13760513969,558.2268024,0,232,0,Asia
Venezuela,2000,24192449,1.17141E+11,4842.036601,0,1274,0,SAM
Vietnam,2000,79910411,31172518403,390.0933309,0.002,8,2.50E-05,Asia
Algeria,2001,31451513,54744712815,1740.606654,0,434,0,Africa
Argentina,2001,37275644,2.68697E+11,7208.373114,24.8,613,0.66531379,SAM
Australia,2001,19413000,3.79084E+11,19527.32358,106.635,815,5.492968629,Oceania
Austria,2001,8042293,1.97338E+11,24537.51426,74,201,9.201355882,Europe
Azerbaijan,2001,8111200,5707720391,703.6838434,0,325,0,Asia
Bahrain,2001,697550,8976196809,12868.17692,0,260,0,Asia
Bangladesh,2001,130088709,53991289844,415.0344043,0,36,0,Asia
Belarus,2001,9928549,12354820144,1244.373185,0,500,0,Europe
Belgium,2001,10286570,2.36541E+11,22995.15752,26,758,2.527567498,Europe
Brazil,2001,177196051,5.59984E+11,3160.249345,24,1849.361773,0.135443199,SAM
Bulgaria,2001,8009142,14183497963,1770.913534,0,120,0,Europe
Canada,2001,31020902,7.38982E+11,23822.06012,223,1917.29156,7.188701347,NAM
Chile,2001,15516112,70979923960,4574.594716,2,201,0.12889827,SAM
China,2001,1271850000,1.3394E+12,1053.108243,442.72,6166.336577,0.348091363,Asia
Colombia,2001,40255956,98211749596,2439.682456,0,323,0,SAM
Costa Rica,2001,4034074,15976174337,3960.307703,207.3,0,51.38725765,NAM
Croatia,2001,4299642,23273640257,5412.925136,0,0,0,Europe
Curacao,2001,129047,0,0,0,320,0,SAM
Czech Republic,2001,10216605,67808032980,6637.041657,0.1,200,0.009787987,Europe
Denmark,2001,5358783,1.64791E+11,30751.65435,2498.2,184,466.1879386,Europe
Ecuador,2001,12914660,24468324000,1894.616196,0,177,0,SAM
Egypt,2001,70152662,96684636119,1378.203383,69.5,770,0.990696547,Africa
El Salvador,2001,5927001,12282533600,2072.301591,161.2,0,27.19756585,NAM
Ethiopia,2001,68159422,8231326016,120.7657837,7.3,0,0.107101847,Africa
Finland,2001,5188008,1.29421E+11,24946.18919,39,261,7.517336134,Europe
France,2001,61357432,1.37647E+12,22433.55498,73,1961,1.189749923,Europe
Germany,2001,82349925,1.94411E+12,23607.88286,8949,2274,108.6704086,Europe
Greece,2001,10862132,1.36191E+11,12538.17887,271,412,24.94906157,Europe
Guatemala,2001,11871565,18405203853,1550.360366,29,0,2.442811879,NAM
Honduras,2001,6751912,7565854724,1120.54996,1.8,0,0.266591152,NAM
Hungary,2001,10187576,53749989092,5276.033189,0,221,0,Europe
Iceland,2001,284968,8234846805,28897.44394,202,0,708.8515202,Europe
India,2001,1075000094,4.85441E+11,451.5729973,1461.535,2261,1.359567323,Asia
Indonesia,2001,214427419,1.60447E+11,748.2576087,785,1070.65,3.660912413,Asia
Iran,2001,66449111,1.26879E+11,1909.412306,11,1647,0.165540213,Asia
Iraq,2001,24208178,36176430129,1494.388802,0,718,0,Asia
Ireland,2001,3866243,1.09252E+11,28257.93859,122.9,75,31.78796573,Europe
Israel,2001,6439000,1.30816E+11,20316.24805,0,270,0,Asia
Italy,2001,56974100,1.16701E+12,20483.21599,1257,2485,22.06265654,Europe
Japan,2001,127149000,4.37471E+12,34406.18246,1161,4704.9795,9.131019513,Asia
Jordan,2001,5217328,8975689845,1720.361427,1.4,0,0.268336589,Asia
Kazakhstan,2001,14858335,22152694162,1490.92709,0,330,0,Asia
Kenya,2001,32848569,12986007426,395.3294716,58,0,1.765678133,Africa
South Korea,2001,23132982,0,0,16,0,0.691653156,Asia
Kuwait,2001,2103273,34887512227,16587.24865,0,886,0,Asia
Lithuania,2001,3470818,12237388002,3525.793632,0,240,0,Europe
Malaysia,2001,23709115,92783947368,3913.429386,0,559,0,Asia
Mexico,2001,100298152,7.56706E+11,7544.568723,870,1481.05,8.674137884,NAM
Morocco,2001,29126323,39459581217,1354.773866,61,154,2.094325466,Africa
Netherlands,2001,16046180,4.31213E+11,26873.27593,507,1278,31.59630516,Europe
New Zealand,2001,3880500,53872425917,13882.85683,453,101,116.7375338,Oceania
Nicaragua,2001,5145367,5323146566,1034.551387,26,0,5.053089508,NAM
Nigeria,2001,125394046,74030364472,590.381815,0,445,0,Africa
Norway,2001,4513751,1.73972E+11,38542.7151,13,307,2.88008798,Europe
Oman,2001,2294959,19452000520,8475.968643,0,82,0,Asia
